	a	b	Q_bar	final_accuracy
0	1	1	0.1	0.945850002765656
1	1	1	0.1	0.974889993667602
2	1	1	0.1	0.971080005168915
3	1	1	0.2	0.976410007476807
4	1	1	0.2	0.975949996709824
5	1	1	0.2	0.952020001411438
6	1	2	0.1	0.974120002985
7	1	2	0.1	0.980500000715256
8	1	2	0.1	0.976330000162125
9	1	2	0.2	0.958819997310638
10	1	2	0.2	0.931550002098084
11	1	2	0.2	0.981510001420975
12	2	1	0.1	0.962220001220703
13	2	1	0.1	0.976109999418259
14	2	1	0.1	0.960160005092621
15	2	1	0.2	0.879669997096062
16	2	1	0.2	0.975720006227493
17	2	1	0.2	0.972259998321533
18	2	2	0.1	0.971960002183914
19	2	2	0.1	0.969960004091263
20	2	2	0.1	0.977450013160706
21	2	2	0.2	0.973199999332428
22	2	2	0.2	0.922670009732246
23	2	2	0.2	0.975349998474121
